Babycore	Kawaii
Babycore	Kidcore
Babycore	Sanriocore
Babycore	Yume Kawaii
Babycore	Delicate Sweet
Babygirl	Babycore
Babygirl	Baddie
Babygirl	Bubblegum Bitch
Babygirl	Dolly Girl
Babygirl	E-Girl
Babygirl	Lovecore
Babygirl	Nymphet
Babygirl	Neko
Babygirl	Pastel Academia
Babygirl	Pastel Goth
Babygirl	Princesscore
Babygirl	Sanriocore
Babygirl	Slutcore
Babygirl	Trailer Park Princess
Baddie	Barbiecore
Baddie	Cherry Emoji Twitter
Baddie	Chonga
Baddie	Femme Fatale
Baddie	McBling
Baddie	Paty de SP
Baddie	Boujee
Baddie	Cherry Emoji Twitter
Baddie	Chic Modernist
Baddie	Femme Fatale
Ballet Academia	Balletcore
Ballet Academia	Dark Academia
Ballet Academia	Light Academia
Ballet Academia	Ethereal
Ballet Academia	Pink Parisian
Ballet Academia	Romantic Academia
Ballet Academia	Romantic Goth
Ballet Academia	Fairycore
Ballet Academia	Fantasy
Ballet Academia	Dark Fantasy
Balletcore	Ballet Academia
Balletcore	Cult Party Kei
Balletcore	Dollcore
Balletcore	French Girly
Balletcore	Larme Kei
Balletcore	Tenniscore
Barbiecore	Basic Girl
Barbiecore	Brazilian Bombshell
Barbiecore	Bubblegum Bitch
Barbiecore	Bubblegum Dance
Barbiecore	Coconut Girl
Barbiecore	Equestrian
Barbiecore	Holosexual
Barbiecore	Hyperpop
Barbiecore	Living Doll
Barbiecore	McBling
Barbiecore	Sanriocore
Barbiecore	Tenniscore
Baroque	Ethereal
Baroque	Kingcore
Baroque	Princesscore
Baroque	Queencore
Baroque	Rococo
Baroque	Royalcore
Baroque	Spanish Golden Age
Basic Girl	Barbiecore
Basic Girl	Normcore
Basic Girl	VSCO Girl
Beatnik	Bohemian
Beatnik	Dark Academia
Beatnik	Hippie
Beatnik	Hipster
Beatnik	Psychedelia
Berlin Techno Fashion	Bondage
Berlin Techno Fashion	Cyberpunk
Berlin Techno Fashion	Goth
Berlin Techno Fashion	Rivethead
Berlin Techno Fashion	Techwear
Black Ivy	Preppy
Black Ivy	Hip-Hop
Bleak Crush	Emo
Bleak Crush	Grunge
Bleak Crush	McBling
Bleak Crush	Urbancore
Bleak Crush	Swag
Bleak Crush	Y2K
Bleak Crush	Y2K Futurism
Bleak Crush	Alternative
Bloghouse	Alternative
Bloghouse	Club
Bloghouse	Emo
Bloghouse	Hipster
Bloghouse	Indie
Bloghouse	Indie Sleaze
Bloghouse	Juggalo
Bloghouse	New Rave
Bloghouse	Scene
Bloghouse	Tecktonik
Bloghouse	Y2K
Blokecore	Madchester
Blokecore	Paninaro
Blokecore	Tenniscore
Blokecore	Urbancore
Bodikon	Takenokozoku
Bodikon	Club
Bodikon	Gyaru
