Bubble Bujo	Kidcore
Bubble Bujo	Lovecore
Bubble Bujo	Sanriocore
Bubble Bujo	Scrapbook
Bubble Bujo	Trinketcore
Taisho Roman	Art Deco
Taisho Roman	Romanticism
Taisho Roman	Neoclassicism
Taisho Roman	Roaring 20s
Taisho Roman	Nanchatte Seifuku
Taisho Roman	Ukiyo-e
Taisho Roman	Bankara
Communist Chic	Nazi Chic
Communist Chic	Laborwave
Communist Chic	Punk
Communist Chic	Soviet Nostalgia
Communist Chic	Winter Fairy Coquette
Chromecore	Cybersigilism
Chromecore	Frutiger Aero
Chromecore	Metalheart
Chromecore	Mizuiro
Chromecore	Retrofuturism
Chromecore	Technozen
Chromecore	Y2K Futurism
Christmas	Winter
Oceanpunk	Nautical
Oceanpunk	Nautical Fantasy
Oceanpunk	Seapunk
Oceanpunk	Steampunk
Oceanpunk	Biopunk
Oceanpunk	Ocean Academia
Oceanpunk	Ocean Grunge
Oceanpunk	Pirate
Oceanpunk	Dark Nautical
Gorecore	Balkan Violence Tumblr
Gorecore	Catholic Horror
Gorecore	Devilcore
Gorecore	Goth Punk
Gorecore	Gurokawa
Gorecore	Horror
Gorecore	Meatcore
Gorecore	Pastel Gore
Gorecore	Vampire
Gorecore	Weirdcore
Nazi Chic	Bondage
Nazi Chic	Communist Chic
Nazi Chic	Electronic Body Music
Nazi Chic	Glam Rock
Nazi Chic	Industrial
Nazi Chic	Metal
Nazi Chic	Military
Nazi Chic	Punk
Mermaid	Coconut Girl
Mermaid	Seapunk
Mermaid	Surf Crush
Mermaid	Nautical
Mermaid	Pirate
Mermaid	Auroracore
Mermaid	Fantasy
Mermaid	Dark Nautical
Mermaid	Starrflesh
Mermaid	Unicorncore
Sloanie	Bon Chic, Bon Genre
Sloanie	Dark Academia
Sloanie	Old Money
Sloanie	Light Academia
Sloanie	Power Dressing
Sloanie	Preppy
Mid-Century Modern	Art Deco
Mid-Century Modern	Avant Basic
Mid-Century Modern	Brutalism
Mid-Century Modern	Hollywood Regency
Mid-Century Modern	Ostalgie
Mid-Century Modern	Stilyagi
Mid-Century Modern	50s Suburbia
Minimal Wave	Avant-garde
Minimal Wave	Brutalism
Minimal Wave	Constructivism
Minimal Wave	Electroclash
Minimal Wave	Electronic Body Music
Minimal Wave	French New Wave
Minimal Wave	Futurism
Minimal Wave	Goth
Minimal Wave	Minimalism
Minimal Wave	Modernism
Minimal Wave	New Beat
Minimal Wave	New Wave
Minimal Wave	No Wave
Minimal Wave	Lo-Fi
Minimal Wave	Post-Punk
Minimal Wave	Retrofuturism
